,Text,item_id
0,Organic Heirloom Popcorn nan nan,0
1,Classic Salmon Jerky nan nan,1
2,Hawaiian Salmon Jerky nan nan,2
3,Organic Brussels Sprouts  nan nan,3
4,Organic Carrot Bunch nan nan,4
5,Organic Ozette Potatoes nan nan,5
6,Micro Mix nan nan,6
7,Goat Cheese & Beet Ravioli  nan nan,7
8,Chocolate Pecan Babka nan nan,8
9,Pastured 2% Jersey Milk nan nan,9
10,"Pastured Ground Beef, Frozen    nan nan",10
11,"Grass-Fed Chuck Steak, Frozen (Organically Raised) nan nan",11
12,Fuji Apples nan nan,12
13,Bosc Pears nan nan,13
14,"Pastured Bacon, Frozen (Organically Raised) nan nan",14
15,"Pastured Boneless Shoulder Butt Roast, Frozen  nan nan",15
16,"Wild Cod, Frozen cod nan",16
17,"Alki's Apple Pie (9"")  pie nan",17
18,Cold-Pressed Cranberry Juice fruit juice nan,18
19,Mizuna Greens (bunched)  nan nan,19
20,Organic Baby Shiitake Mushroom nan nan,20
21,Organic Cylindra Beets  nan nan,21
22,Organic Russet Potatoes  nan nan,22
23,Chicken & Roasted Veggie Hand Pie (frozen) nan nan,23
24,Pastured Egg Nog nan nan,24
25,Organic Juicing Carrots  nan nan,25
26,Pink Lady Apples nan nan,26
27,Organic Opal Apple nan nan,27
28,Organic Aged Gouda  nan nan,28
29,Yellow Carrots (Organically Grown) nan nan,29
30,Organic Broccoli  nan nan,30
31,Organic Free Range Eggs  nan nan,31
32,"Wild Copper River Sockeye Salmon Skin-on, Frozen nan nan",32
33,Organic Cured Italian Red Garlic  nan nan,33
34,Pear & Brie Ravioli  nan nan,34
35,Smoked Gouda & Chicken Ravioli  nan nan,35
36,Basil Cheese Sauce nan nan,36
37,Black Truffle Mustard  nan nan,37
38,Organic Artisan Pizza Crust - 2 pack nan nan,38
39,"Chicken, Mushroom, and Spinach Lasagna - 4 servings (frozen) nan nan",39
40,Organic Whole Grain Sliced Loaf nan nan,40
41,Vegan Chocolate Chip Cookie nan nan,41
42,Raspberry Oat Bar nan nan,42
43,Organic Bake-at-Home Rosemary Bread nan nan,43
44,Organic Red Onion  nan nan,44
45,Purple Carrots (Organically Grown) nan nan,45
46,Organic Golden Beets  nan nan,46
47,Mini Squash Harvest Loaf nan nan,47
48,Green Cabbage (Organically Grown) nan nan,48
49,Organic Spinach.. nan nan,49
50,Organic White Onions nan nan,50
51,Organic Red Potatoes nan nan,51
52,Green Daikon (organically grown)  nan nan,52
53,Sour White Loaf nan nan,53
54,"Chocolate Bourbon Pecan Pie (9"") pecan pie nan",54
55,Grass-Fed Cultured Unsalted Butter butter nan,55
56,Greek Olive Crostini  nan nan,56
57,Slow Burn Black-eyed Pea Hummus  nan nan,57
58,Beef and Veggie Hand Pie (Frozen) nan nan,58
59,Organic Honeycrisp Apples nan nan,59
60,Wild Golden Chanterelle Mushrooms  nan nan,60
61,Organic Carrots nan nan,61
62,Organic Plain Chevre  nan nan,62
63,Grass-Fed Badger Mt. Blue Cheese  nan nan,63
64,Raisin Pecan Sliced Loaf nan nan,64
65,Chocolate Croissant nan nan,65
66,Grass-Fed Cultured Butter with Gray Salt nan nan,66
67,Seastack nan nan,67
68,Asian Pears nan nan,68
69,Organic Lebanese Zucchini nan nan,69
70,Gluten Free Fresh Fruit Muffin nan nan,70
71,Cage Free Eggs nan nan,71
72,Organic Green Kale nan nan,72
73,Organic Red Chard nan nan,73
74,Red Garlic (Organically Grown) nan nan,74
75,Organic Curly Parsley  nan nan,75
76,Organic Celery  nan nan,76
77,Organic Lacinato Kale  nan nan,77
78,Natural Creamunchy Peanut Butter nan nan,78
79,Organic Green D'Anjou Pear nan nan,79
80,Packham Pears nan nan,80
81,Spinach & Garlic Ziti nan nan,81
82,Marinara Sauce nan nan,82
83,Organic Heirloom Blueberries - Frozen nan nan,83
84,Organic Collard Greens  nan nan,84
85,Organic Grass-Fed Chocolate Milk - Quart nan nan,85
86,Organic Delicata Squash  nan nan,86
87,Crimini Mushrooms nan nan,87
88,Organic Red Beets  nan nan,88
89,Pastured Eggs (Organically Raised) nan nan,89
90,"Grass-Fed Beef Soup Bones, Frozen (Organically Raised) nan nan",90
91,"Pastured Pork Ribs, Frozen (Organically Raised) nan nan",91
92,Organic Braeburn Apple nan nan,92
93,Organic Neon Eggplants  nan nan,93
94,Chicken Empanada (2 pack)  nan nan,94
95,Beef Empanada (2pack)  empanada nan,95
96,"Mini Chicken Pot Pie (5"") (frozen) savory pie nan",96
97,"Pastured Ground Beef, Frozen    ground beef nan",97
98,Smoked Wild King Salmon nan nan,98
99,Pretzel Knot nan nan,99
100,Foccacia nan nan,100
101,Organic Shishito Peppers nan nan,101
102,Sunchokes  nan nan,102
103,Chioggia Beets (Organically Grown)  nan nan,103
104,Fresh Alphabet Pasta  nan nan,104
105,Organic Parsley Chive Chèvre nan nan,105
106,"Pie Crust, Frozen nan nan",106
107,Winter Pear Crown  nan nan,107
108,"Pastured Mild Italian Sausage, Frozen (Organically Raised) nan nan",108
109,"Jalapeno Cheddar Sausage, Frozen nan nan",109
110,Organic Grass-Fed Whole Jersey Milk nan nan,110
111,Organic Honey Lavender Chevre  nan nan,111
112,"Wild Baker River Sockeye Salmon Skin-on Fillets, Frozen nan nan",112
113,"Grass-Fed Beef Stew Meat, Frozen (Organically Raised) nan nan",113
114,Almond Croissant nan nan,114
115,Blueberry Cornmeal Muffin nan nan,115
116,Rye Rustic Loaf nan nan,116
117,Organic Roasted Garlic Loaf nan nan,117
118,Monkey Bread nan nan,118
119,Roasted Red Pepper Fettuccine  nan nan,119
120,Butternut Squash Gnocchi  nan nan,120
121,Cheesy Garlic Pullapart Rolls nan nan,121
122,Charcuterie & Cheese Party Platter nan nan,122
123,Dream Tea tea nan,123
124,Purple Daikon (organically grown)  vegetable nan,124
125,Organic Parsnips root vegetable nan,125
126,Organic Lacinato Kale  lacinato kale nan,126
127,Mizuna Greens (bunched)  greens nan,127
128,"Pastured Whole Chicken, Frozen (Organically Raised) nan nan",128
129,Pear & Brie Ravioli  ravioli nan,129
130,Longevity Extra Virgin Olive Oil olive oil nan,130
131,Micro Mix microgreens mix nan,131
132,Purple Daikon (organically grown)  nan nan,132
133,Spanish Black Radishes (organically grown) nan nan,133
134,Gold Ball Turnips  nan nan,134
135,Organic Butternut Squash nan nan,135
136,"Pastured Pork Chop Bone-in, Frozen (2 Chops) nan nan",136
137,Organic Broccoli   nan nan,137
138,Vanilla Yogurt Cup nan nan,138
139,Organic Hulless Heirloom Pumpkin Seeds (Lightly Salted) nan nan,139
140,Organic Dried Blueberries - Small Pack nan nan,140
141,Portobello Mushroom & Caramelized Onion Ravioli  nan nan,141
142,Organic Multi-Grain Sliced Loaf nan nan,142
143,Fennel (organically grown)  nan nan,143
144,Organic Parsnips nan nan,144
145,"Marionberry Pie (9"") nan nan",145
146,"Chocolate Bourbon Pecan Pie (9"") nan nan",146
147,Classic Mustard  nan nan,147
148,Organic Italian Parsley  nan nan,148
149,Organic Mixed Bell Peppers nan nan,149
150,Apricot Jam nan nan,150
151,Whole Wheat Cider Roll Tray - 6 pack  nan nan,151
152,Fuji Apples apples nan,152
153,Vanilla Yogurt Cup regular yogurt ss nan,153
154,Honey Yogurt Cup regular yogurt ss nan,154
155,"Quiche Lorraine (8"") (frozen) savory pie nan",155
156,"Pastured Ground Pork, Frozen nan nan",156
157,Honey Yogurt regular yogurt nan,157
158,Organic Free Range Eggs  eggs nan,158
159,Roasted Red Pepper Fettuccine  fresh fettuccine nan,159
160,Marinara Sauce pasta sauce nan,160
161,Organic Acorn Squash nan nan,161
162,Organic Baby Mixed Lettuce nan nan,162
163,Portobello Mushrooms nan nan,163
164,Organic Rainbow Carrot Bunch nan nan,164
165,"Alki's Apple Pie (9"")  nan nan",165
166,Rustic Potato Dinner Rolls - 6 pack nan nan,166
167,"Mini Chicken Pot Pie (5"") (frozen) nan nan",167
168,Micro Arugula nan nan,168
169,Pastured Whole Jersey Milk nan nan,169
170,Pastured Whipping Cream nan nan,170
171,Ricotta Gnocchi  nan nan,171
172,Organic Rosemary Diamante nan nan,172
173,"Mozzarella, Tomato & Basil Ravioli  nan nan",173
174,Pastured 1% Jersey Milk nan nan,174
175,Cirrus Camembert nan nan,175
176,Brownie nan nan,176
177,Honey Curry Mustard  nan nan,177
178,Grass-Fed Cultured Ghee nan nan,178
179,Grass-Fed Cultured Unsalted Butter nan nan,179
180,Sriracha  nan nan,180
181,"Pastured Boneless Leg Roast, Frozen nan nan",181
182,"Organic Arugula, nan nan",182
183,Smoked Wild Copper River Salmon nan nan,183
184,Spaghetti  nan nan,184
185,Organic Red Jalapeño Peppers  nan nan,185
186,Organic Red Kale nan nan,186
187,Micro Pea Shoots nan nan,187
188,Fromage Blanc nan nan,188
189,"Grass-Fed Ground Beef Patties, Frozen - 4 pack (Organically Raised) nan nan",189
190,Organic Blueberry Jam  nan nan,190
191,"Pastured Ground Beef, Frozen   nan nan",191
192,Original Black-eyed Pea Hummus  nan nan,192
193,Fall Fruit Farm Box (6-7lb) nan nan,193
194,Morning Glory Muffin nan nan,194
195,Taco Flour Tortilla - 8 pack  nan nan,195
196,Granola Bar Cookies - 4 pack nan nan,196
197,Grass-Fed Whey Ricotta nan nan,197
198,Organic Tomatillo  nan nan,198
199,Gluten Free Seeded Multi-Grain Sliced Bread nan nan,199
200,Organic Opal Apple apples nan,200
201,Chocolate Croissant croissants nan,201
202,Organic Honeycrisp Apples apples nan,202
203,Organic Braeburn Apple apples nan,203
204,Organic Carrots carrots nan,204
205,Pink Lady Apples apples nan,205
206,Burrito Flour Tortilla - 6 pack  tortilla nan,206
207,Smoked Gorgonzola & Walnut Ravioli nan nan,207
208,Teriyaki Salmon Jerky nan nan,208
209,Vanilla Yogurt nan nan,209
210,Raw Wildflower Honey  nan nan,210
211,Organic Red Mustard Greens (bunched)  nan nan,211
212,Salmon Kandy  nan nan,212
213,Organic Leeks  nan nan,213
214,Parmesan Rosemary Ham Biscuit nan nan,214
215,Organic Black Turtle Beans  nan nan,215
216,Organic Pasayten Hard White All Purpose Flour nan nan,216
217,"Pumpkin Pie (9"") nan nan",217
218,Ciabatta  nan nan,218
219,Organic Shallots  nan nan,219
220,Organic Jumbo Gold Beets  nan nan,220
221,Applewood Smoked Sweetheart Ham  ham nan,221
222,"Wild Baker River Sockeye Salmon Skin-on Fillets, Frozen salmon nan",222
223,"Organic Ladysmith, Dry Aged  cheese nan",223
224,Grass-Fed Dairy Reserve Cheese hard cheese nan,224
225,Cheesy Garlic Pullapart Rolls specialty roll nan,225
226,Chocolatl Sipping Chocolate Tea hot chocolate nan,226
227,Hazelnut Cacao Nib Granola  granola nan,227
228,Plain Sardinian Flatbread  nan nan,228
229,Organic Velvet Pioppini Mushroom nan nan,229
230,Organic Yellow Finn Potatoes nan nan,230
231,Organic Grass-Fed 2% Jersey Milk nan nan,231
232,Dried Pear Crisps nan nan,232
233,Columbia Sliced Loaf nan nan,233
234,Vegan Pumpkin Scone nan nan,234
235,Hazelnut Cacao Nib Granola  nan nan,235
236,Cold-Pressed Cranberry Juice nan nan,236
237,Blueberry Scone nan nan,237
238,Spaghetti  fresh spaghetti nan,238
239,Almond Croissant croissants nan,239
240,Micro Arugula micro arugula nan,240
241,"Spanish Chorizo Sausage, Frozen nan nan",241
242,Butternut Squash Lasagna - 4 servings (frozen) nan nan,242
243,Five Cheese Ravioli nan nan,243
244,Frozen Cranberries nan nan,244
245,Pumpkin Muffin nan nan,245
246,IPO Original - Sour Dill Pickles nan nan,246
247,Organic High Fiber Firm Tofu nan nan,247
248,Small Batch Plain Yogurt nan nan,248
249,"Grass-Fed New York Steak, Frozen (Organically Raised) nan nan",249
250,Small Batch Plain Yogurt Cup nan nan,250
251,Organic Creamunchy Peanut Butter nan nan,251
252,Red Curry Paste  nan nan,252
253,Organic Weeknight Medley Soup Mix nan nan,253
254,Brioche Slider Rolls - 8 pack nan nan,254
255,Fettuccine nan nan,255
256,Garlic and Pepper Smoked Coho Salmon nan nan,256
257,Pastured Half & Half nan nan,257
258,Organic Sugar Pie Pumpkins (2-4 lbs) nan nan,258
259,Pastured Eggs (Organically Raised) eggs nan,259
260,Foccacia loaf nan,260
261,Columbia Sliced Loaf sliced loaf nan,261
262,Organic Little Buddy Blend coffee bean nan,262
263,Organic Red Kale red kale nan,263
264,Seastack soft cheese nan,264
265,Salmon Kandy  salmon nan,265
266,Organic Decaf Asterisk Blend coffee bean nan,266
267,Damson Plum Jam classic jam nan,267
268,"Cherry Pie (9"")  nan nan",268
269,Organic Classic Kraut nan nan,269
270,Starking Apples nan nan,270
271,Burrito Flour Tortilla - 6 pack  nan nan,271
272,Jalapeno Popper Ravioli  nan nan,272
273,"Pastured Half Chicken, Frozen (Organically Raised) nan nan",273
274,"Quiche Lorraine (8"") (frozen) nan nan",274
275,Gluten Free Original Pizza Crust nan nan,275
276,Organic Collard Greens  collard greens nan,276
277,Organic Green Kale green kale nan,277
278,Dried Apple Crisps dried fruit nan,278
279,Organic Italian Parsley  parsley nan,279
280,Dried Pear Crisps dried fruit nan,280
281,Organic Whole Wheat Pastry Flour (Soft White Wheat) nan nan,281
282,"Spanish Chorizo Sausage, Frozen sausages nan",282
283,Organic Hulless Heirloom Pumpkin Seeds (Lightly Salted) roasted nuts nan,283
284,Organic Red Onions nan nan,284
285,Organic Yin Yang Carrots nan nan,285
286,Organic Marinated Steamed Tofu (Sliced) nan nan,286
287,Organic Emerald City Kraut nan nan,287
288,Pumpkin Spice Loaf  nan nan,288
289,Truffled Fromage Blanc nan nan,289
290,Lightly Salted Jumbo Peanuts nan nan,290
291,Garlic Dill Orzo  nan nan,291
292,"Bacon, Egg & Cheese Hand Pie (frozen) nan nan",292
293,Organic Purple Majesty Potatoes  nan nan,293
294,Organic Grass-Fed Heavy Cream nan nan,294
